10,7,-0- ,-0- ,"Panama",-0- 
4461,2662,"c/o CONSULTORIA EMPRESARIAL ESPECIALIZADA LTDA.","Cali","Colombia",-0- 
4461,2663,"c/o GANADERIAS DEL VALLE S.A.","Cali","Colombia",-0- 
4461,2664,"c/o CONCRETOS CALI S.A.","Cali","Colombia",-0- 
4461,2665,"c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.","Cali","Colombia",-0- 
4466,2668,"c/o LABORATORIOS GENERICOS VETERINARIOS","Bogota","Colombia",-0- 
4466,2669,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4466,2670,"c/o DISTRIBUIDORA DE DROGAS CONDOR LTDA.","Bogota","Colombia",-0- 
4466,2671,"c/o DISTRIBUIDORA MYRAMIREZ S.A.","Bogota","Colombia",-0- 
4467,4133,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4467,4134,"c/o DISTRIBUIDORA MIGIL LTDA.","Cali","Colombia",-0- 
4467,4135,"c/o BLANCO PHARMA S.A.","Bogota","Colombia",-0- 
4467,4136,"c/o LABORATORIOS BLAIMAR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4467,4137,"c/o FARMATODO S.A.","Bogota","Colombia",-0- 
4467,4138,"c/o SERVICIOS SOCIALES LTDA.","Barranquilla","Colombia",-0- 
4467,4139,"c/o DISTRIBUIDORA DE DROGAS CONDOR LTDA.","Bogota","Colombia",-0- 
4467,4140,"c/o DEPOSITO POPULAR DE DROGAS S.A.","Cali","Colombia",-0- 
4467,4141,"c/o DISTRIBUIDORA DE DROGAS LA REBAJA S.A.","Bogota","Colombia",-0- 
4467,4142,"c/o D'CACHE S.A.","Cali","Colombia",-0- 
4468,2672,"c/o DISTRIBUIDORA DE DROGAS CONDOR LTDA.","Bogota","Colombia",-0- 
4469,2673,"c/o LABORATORIOS GENERICOS VETERINARIOS DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4469,2674,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4469,2675,"c/o SERVICIOS SOCIALES LTDA.","Barranquilla","Colombia",-0- 
4469,2676,"c/o BLANCO PHARMA S.A.","Bogota","Colombia",-0- 
4469,2677,"c/o INVERSIONES GEELE LTDA.","Bogota","Colombia",-0- 
4469,6099,"c/o INVERSIONES KANTON LTDA., Cucuta","Norte de Santander","Colombia",-0- 
4470,4270,"c/o INTERAMERICANA DE CONSTRUCCIONES S.A.","Cali","Colombia",-0- 
4470,4271,"c/o RIONAP COMERCIO Y REPRESENTACIONES S.A.","Quito","Ecuador",-0- 
4470,4272,"c/o INVERSIONES ARA LTDA.","Cali","Colombia",-0- 
4470,4273,"c/o DISTRIBUIDORA DE DROGAS LA REBAJA S.A.","Bogota","Colombia",-0- 
4470,4274,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4470,4275,"c/o DEPOSITO POPULAR DE DROGAS S.A.","Cali","Colombia",-0- 
4470,4276,"c/o D'CACHE S.A.","Cali","Colombia",-0- 
4470,4598,"c/o PRODUCCIONES CARNAVAL DEL NORTE Y COMPANIA LIMITADA","Cali","Colombia",-0- 
4470,4599,"c/o VALORES MOBILIARIOS DE OCCIDENTE S.A.","Cali","Colombia",-0- 
4470,4743,"c/o CREDIREBAJA S.A.","Cali","Colombia",-0- 
4470,6138,"c/o ASISTENCIA PROFESIONAL ESPECIALIZADA EN COLOMBIA LIMITADA","Cali","Colombia",-0- 
4470,6139,"c/o BONOMERCAD S.A.","Bogota","Colombia",-0- 
4470,6140,"c/o CUSTOMER NETWORKS S.L.","Madrid","Spain",-0- 
4470,6141,"c/o DECAFARMA S.A.","Bogota","Colombia",-0- 
4470,6142,"c/o DROCARD S.A.","Bogota","Colombia",-0- 
4470,6143,"c/o INVERSIONES ESPANOLES FEMCAR S.L.","Madrid","Spain",-0- 
4470,7195,"c/o FUNDASER","Cali","Colombia",-0- 
4471,4336,"c/o DISTRIBUIDORA MIGIL LTDA.","Cali","Colombia",-0- 
4471,4337,"c/o LABORATORIOS BLAIMAR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4471,4338,"c/o CREACIONES DEPORTIVAS WILLINGTON LTDA.","Cali","Colombia",-0- 
4471,4339,"c/o DEPOSITO POPULAR DE DROGAS S.A.","Cali","Colombia",-0- 
4471,4340,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4471,4341,"c/o BLANCO PHARMA S.A.","Bogota","Colombia",-0- 
4471,4342,"c/o RADIO UNIDAS FM S.A.","Cali","Colombia",-0- 
4471,4343,"c/o DISTRIBUIDORA DE DROGAS CONDOR LTDA.","Bogota","Colombia",-0- 
4471,4344,"c/o CORPORACION DEPORTIVA AMERICA","Cali","Colombia",-0- 
4471,4345,"c/o D'CACHE S.A.","Cali","Colombia",-0- 
4471,7201,"c/o DROBLAM S.A.","Cali","Colombia",-0- 
4486,2678,"Avenida 2DN No. 24N-76","Cali","Colombia",-0- 
4486,2679,"Carrera 61 No. 11-58","Cali","Colombia",-0- 
4487,2680,"Avenida Caracas No. 59-77 of. 201A, 401B y 405B","Bogota","Colombia",-0- 
4488,2681,"Avenida Caracas No. 59-77 of. 201A, 401B, 405B y 407B","Bogota","Colombia",-0- 
4489,2682,"Carrera 7 No. 72-28 of. 301","Bogota","Colombia",-0- 
4489,2683,"Carrera 4 No. 86-88","Bogota","Colombia",-0- 
4489,2684,"Transversal 3 No. 85-10 apt. 401 Interior 1","Bogota","Colombia",-0- 
4490,2685,"Avenida 2N No. 7N-55 of. 521","Cali","Colombia",-0- 
4490,2686,"Carrera 68 No. 13B-61 of. 104B","Cali","Colombia",-0- 
4490,2687,"Calle 70N No. 14-31","Cali","Colombia",-0- 
4491,2688,"Avenida 2N No. 7N-55 of. 421","Cali","Colombia",-0- 
4492,2689,"Avenida 2FN No. 24N-92","Cali","Colombia",-0- 
4492,2690,"Carrera 83 No. 6-50","Cali","Colombia",-0- 
4492,2691,"Carrera 61 No. 11-58","Cali","Colombia",-0- 
4493,2692,"Avenida 6N y Avenida 4 No. 13N-50 of. 1201","Cali","Colombia",-0- 
4495,2693,"Calle 11 No. 32-47 Bodega 41 Arroyohondo","Cali","Colombia",-0- 
4495,2694,"Calle 32 No. 11-41 Bodega 4 Arroyohondo","Cali","Colombia",-0- 
4496,2695,"Calle 17N No. 6N-28","Cali","Colombia",-0- 
4496,2696,"Calle 24N No. 6N-21","Cali","Colombia",-0- 
4497,2697,"Avenida Caracas No. 59-77 of. 201A, 401B y 405B","Bogota","Colombia",-0- 
4498,2698,"Avenida 6N No. 13N-50 of. 1209","Cali","Colombia",-0- 
4499,2699,"Carrera 61 Nos. 11-58 y 11-62","Cali","Colombia",-0- 
4500,2700,"Carrera 4 No. 12-41 of. 608 y 701","Cali","Colombia",-0- 
4501,2701,"Avenida 4A Oeste No. 5-107 apt. 401","Cali","Colombia",-0- 
4501,2702,"Avenida 7N No. 23N-39","Cali","Colombia",-0- 
4501,2703,"Avenida 4A Oeste No. 5-187 apt. 401","Cali","Colombia",-0- 
4502,2704,"Avenida 2DN No. 24N-76","Cali","Colombia",-0- 
4502,2705,"Avenida 2CN No. 24N-92","Cali","Colombia",-0- 
4502,2706,"Carrera 61 No. 11-58","Cali","Colombia",-0- 
4502,2707,"Calle 70N No. 14-31","Cali","Colombia",-0- 
4504,2708,"Calle 47AN","Cali","Colombia",-0- 
4504,2709,"Calle 34 No. 5A-25","Cali","Colombia",-0- 
4505,2710,"Calle 34 No. 5A-25","Cali","Colombia",-0- 
4505,2711,"1 Km Antes de Cavasa Palmira-Cali",-0- ,"Colombia",-0- 
4505,2712,"Granja Pio Pio Carretera Cali-Candelaria Km 12","Cali","Colombia",-0- 
4506,2713,"Avenida 2N No. 7N-55 of. 521","Cali","Colombia",-0- 
4506,2714,"Carrera 3 No. 12-40","Cali","Colombia",-0- 
4506,2715,"A.A. 1689","Cali","Colombia",-0- 
4506,2716,"Km 17 Recta Cali-Palmira","Palmira","Colombia",-0- 
4507,2717,"Pollo Tanrico Km 17 Recta Cali-Palmira","Palmira","Colombia",-0- 
4507,2718,-0- ,"Cali","Colombia",-0- 
4508,2719,"Avenida 7N No. 17A-48","Cali","Colombia",-0- 
4508,2720,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4509,2721,"Avenida 6N No. 47-197 17","Cali","Colombia",-0- 
4509,2722,"c/o INDUSTRIA MADERERA ARCA LTDA.","Cali","Colombia",-0- 
4511,2724,"c/o IMPORTADORA Y COMERCIALIZADORA LTDA.","Cali","Colombia",-0- 
4512,2725,"Avenida 39 No. 15-22","Bogota","Colombia",-0- 
4512,2726,"c/o CONSTRUCTORA ALTOS DEL RETIRO LTDA.","Bogota","Colombia",-0- 
4512,2727,"c/o INVERSIONES ARIO LTDA.","Cali","Colombia",-0- 
4512,2728,"Carrera 9 No. 9S-35","Buga","Colombia",-0- 
4512,2729,"Carrera 4 No. 12-41 of. 710","Cali","Colombia",-0- 
4512,2730,"Calle 110 No. 30-45","Bogota","Colombia",-0- 
4513,2731,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4514,2732,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4515,2733,"c/o CONSTRUVIDA S.A.","Cali","Colombia",-0- 
4516,2734,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4517,2735,"c/o INVERSIONES EL PENON S.A.","Cali","Colombia",-0- 
4518,2736,"c/o VALLADARES LTDA.","Cali","Colombia",-0- 
4518,2737,"c/o AGROPECUARIA BETANIA LTDA.","Cali","Colombia",-0- 
4518,2738,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4519,2739,"c/o GANADERIAS DEL VALLE S.A.","Cali","Colombia",-0- 
4520,2740,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4521,4109,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4521,4110,"c/o ALKALA ASOCIADOS S.A.","Cali","Colombia",-0- 
4522,2741,"c/o CONSTRUCTORA ALTOS DEL RETIRO LTDA.","Bogota","Colombia",-0- 
4522,2742,"Calle 7 Oeste No. 2-228","Cali","Colombia",-0- 
4522,2743,"Transversal 3 No. 86-73","Bogota","Colombia",-0- 
4522,2744,"c/o INVERSIONES CULZAT GUEVARA Y CIA. S.C.S.","Cali","Colombia",-0- 
4523,2745,"c/o INMOBILIARIA GALES LTDA","Bogota","Colombia",-0- 
4523,2746,"c/o COMERCIAL DE NEGOCIOS CLARIDAD Y CIA.","Bogota","Colombia",-0- 
4523,2747,"c/o COMERCIALIZADORA EXPERTA Y CIA. S. EN C.","Bogota","Colombia",-0- 
4524,2748,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4525,4126,"c/o W. HERRERA Y CIA. S. EN C.","Cali","Colombia",-0- 
4525,4127,"c/o INVERSIONES EL GRAN CRISOL LTDA.","Cali","Colombia",-0- 
4526,4131,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4526,4132,"c/o ALKALA ASOCIADOS S.A.","Cali","Colombia",-0- 
4527,2749,"c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.","Cali","Colombia",-0- 
4527,9346,"Calle 11 No. 1-07 of. 405","Cali","Colombia",-0- 
4527,9347,"c/o PROCESADORA DE POLLOS SUPERIOR S.A.","Cali","Colombia",-0- 
4528,2750,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4529,4401,"c/o W. HERRERA Y CIA. S. EN C.","Cali","Colombia",-0- 
4530,4402,"c/o INVERSIONES EL PENON S.A.","Cali","Colombia",-0- 
4530,4403,"c/o INMOBILIARIA U.M.V. S.A.","Cali","Colombia",-0- 
4531,2751,"c/o CONSTRUCTORA ALTOS DEL RETIRO LTDA.","Bogota","Colombia",-0- 
4532,2752,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4533,2753,"c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.","Cali","Colombia",-0- 
4534,2754,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4534,2755,"c/o INDUSTRIA MADERERA ARCA LTDA.","Cali","Colombia",-0- 
4535,2756,"c/o CONSTRUVIDA S.A.","Cali","Colombia",-0- 
4536,2757,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4536,2758,"c/o AGROPECUARIA BETANIA LTDA.","Cali","Colombia",-0- 
4536,2759,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4536,2760,"c/o INDUSTRIA AVICOLA PALMASECA S.A.","Cali","Colombia",-0- 
4537,2761,"c/o INVERSIONES EL PENON S.A.","Cali","Colombia",-0- 
4538,2762,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4542,2765,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4543,2766,"c/o CONSTRUVIDA S.A.","Cali","Colombia",-0- 
4544,2767,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4545,2768,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4546,2769,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4546,9350,"Calle 1A No. 62A-120","Cali","Colombia",-0- 
4547,2770,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4548,2771,"c/o INCOES LTDA.","Cali","Colombia",-0- 
4548,2772,"c/o IMCOMER LTDA.","Cali","Colombia",-0- 
4549,2773,"c/o INCOES LTDA.","Cali","Colombia",-0- 
4550,2774,"c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.","Cali","Colombia",-0- 
4551,2775,"c/o INCOES LTDA.","Cali","Colombia",-0- 
4552,2776,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4553,2777,"c/o CONSTRUVIDA S.A.","Cali","Colombia",-0- 
4554,2778,"c/o CONSTRUCTORA ALTOS DEL RETIRO LTDA.","Bogota","Colombia",-0- 
4555,2779,"c/o INMOBILIARIA U.M.V. S.A.","Cali","Colombia",-0- 
4555,2780,"c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.","Cali","Colombia",-0- 
4556,4381,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4556,4382,"c/o INMOBILIARIA U.M.V. S.A.","Cali","Colombia",-0- 
4556,4383,"c/o ALKALA ASOCIADOS S.A.","Cali","Colombia",-0- 
4557,4384,"c/o INVHERESA S.A.","Cali","Colombia",-0- 
4557,4385,"c/o ALKALA ASOCIADOS S.A.","Cali","Colombia",-0- 
4557,9349,"Carrera 30A No. 67-45","Palmira","Colombia",-0- 
4558,2781,"c/o INVERSIONES ARIO LTDA","Cali","Colombia",-0- 
4558,9351,"Carrera 24E No. 4-116 Oeste","Cali","Colombia",-0- 
4559,2782,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4560,2783,"c/o GANADERIAS DEL VALLE S.A.","Cali","Colombia",-0- 
4561,4386,"c/o INDUSTRIA MADERERA ARCA LTDA.","Cali","Colombia",-0- 
4561,4387,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4561,4388,"c/o INVERSIONES VILLA PAZ S.A.","Cali","Colombia",-0- 
4561,4389,"c/o COLOMBIANA DE CERDOS LTDA.","Pereira","Colombia",-0- 
4561,4390,"c/o MATADERO METROPOLITANO LTDA.","Pereira","Colombia",-0- 
4562,2784,"c/o AGROPECUARIA LA ROBLEDA S.A.","Cali","Colombia",-0- 
4563,2785,"c/o GANADERIAS DEL VALLE S.A.","Cali","Colombia",-0- 
4564,2786,"c/o MERCAVICOLA LTDA.","Cali","Colombia",-0- 
4564,9348,"Carrera 11 No. 9-11","Villagorgon, Candelaria","Colombia",-0- 
4571,2787,"Calle 12B No. 27-39","Bogota","Colombia",-0- 
4571,2788,"Apartado Aereo 33248","Bogota","Colombia",-0- 
4572,2789,"Calle 4 No. 22-24","Bogota","Colombia",-0- 
4572,2790,"Carrera 66A No. 53-47 piso 3","Bogota","Colombia",-0- 
4572,2791,"Calle 18 No. 121-130 Avenida Canasgordas Pance","Cali","Colombia",-0- 
4572,2792,"Calle 10 No. 4-47 piso 19","Cali","Colombia",-0- 
4572,2793,"Calle 14 No. 6-66","Cali","Colombia",-0- 
4572,2794,"Carrera 7 No. 13-132 piso 4","Cali","Colombia",-0- 
4572,2795,"Carrera 7A No. 14-25 piso 2","Cali","Colombia",-0- 
4572,2796,"Carrera 10 No. 11-71","Cali","Colombia",-0- 
4572,2797,"Carrera 99 No. 46A-10 Bdg 6 y 8","Bogota","Colombia",-0- 
4573,2798,"A.A. 55538","Bogota","Colombia",-0- 
4573,2799,"Calle 12B No. 27-37/39","Bogota","Colombia",-0- 
4573,2800,"Calle 26 Sur No. 7-30 Este","Bogota","Colombia",-0- 
4573,2801,"Carrera 99 y 100 No. 46A-10, Bodega 4","Bogota","Colombia",-0- 
4573,4584,"Calle 12A No. 27-72","Bogota","Colombia",-0- 
4574,2802,"Calle 5C No. 41-30","Cali","Colombia",-0- 
4574,2803,"Carrera 26 No. 5B-65","Cali","Colombia",-0- 
4574,2804,"Carrera 30 No. 5-12","Cali","Colombia",-0- 
4575,2805,"A.A. 18491","Bogota","Colombia",-0- 
4575,2806,"Calle 17A No. 28A-43","Bogota","Colombia",-0- 
4575,2807,"Calle 16 No. 28A-51","Bogota","Colombia",-0- 
4575,2808,"Calle 16 No. 28A-57","Bogota","Colombia",-0- 
4575,2809,"Calle 17A No. 28-43","Bogota","Colombia",-0- 
4576,2810,"Carrera 13 No. 16-62","Cali","Colombia",-0- 
4577,2811,"Calle 12 Norte No. 9N-56","Cali","Colombia",-0- 
4578,2812,"Calle 10 No. 4-47 piso 19","Cali","Colombia",-0- 
4579,2813,"Avenida 2D Norte No. 24N-76","Cali","Colombia",-0- 
4579,2814,"Carrera 61 No. 11-58","Cali","Colombia",-0- 
4580,2815,"Calle 17A No. 28A-43","Bogota","Colombia",-0- 
4580,2816,"Calle 17A No. 28A-23","Bogota","Colombia",-0- 
4581,2817,"Calle 70N No. 14-31","Cali","Colombia",-0- 
4581,2818,"Carrera 61 No. 11-58","Cali","Colombia",-0- 
4582,2819,"c/o COSMEPOP","Bogota","Colombia",-0- 
4582,2820,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4582,2821,"c/o LABORATORIOS BLAIMAR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4583,2822,"c/o COSMEPOP","Bogota","Colombia",-0- 
4584,2823,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4585,2824,"c/o COINTERCOS S.A.","Bogota","Colombia",-0- 
4585,2825,"c/o DEPOSITO POPULAR DE DROGAS S.A.","Bogota","Colombia",-0- 
4585,2826,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4585,2827,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4586,2828,"c/o DISMERCOOP","Cali","Colombia",-0- 
4587,2829,"c/o PENTACOOP LTDA.","Bogota","Colombia",-0- 
4588,2830,"c/o COINTERCOS S.A.","Bogota","Colombia",-0- 
4588,2831,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4588,2832,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4589,2833,"c/o DISMERCOOP","Cali","Colombia",-0- 
4591,2835,"c/o PENTACOOP LTDA.","Bogota","Colombia",-0- 
4591,2836,"c/o PENTA PHARMA DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4591,6087,"c/o DECAFARMA S.A.","Bogota","Colombia",-0- 
4591,6088,"c/o DROCARD S.A.","Bogota","Colombia",-0- 
4591,6089,"c/o DROMARCA Y CIA. S.C.S.","Bogota","Colombia",-0- 
4591,6090,"c/o MATERIAS PRIMAS Y SUMINISTROS S.A.","Bogota","Colombia",-0- 
4592,2837,"c/o FARMACOOP","Bogota","Colombia",-0- 
4592,2838,"c/o PENTACOOP LTDA.","Bogota","Colombia",-0- 
4592,2839,"c/o PENTA PHARMA DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4592,2840,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4592,6086,"c/o DECAFARMA S.A.","Bogota","Colombia",-0- 
4593,2841,"c/o DISTRIBUIDORA DE DROGAS CONDOR S.A.","Bogota","Colombia",-0- 
4593,2842,"c/o COSMEPOP","Bogota","Colombia",-0- 
4594,2843,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4596,2848,"c/o DISMERCOOP","Cali","Colombia",-0- 
4597,2849,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4597,2850,"c/o FARMACOOP","Bogota","Colombia",-0- 
4598,2851,"c/o DISTRIBUIDORA DE DROGAS CONDOR S.A.","Bogota","Colombia",-0- 
4598,2852,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4598,2853,"c/o LABORATORIOS BLANCO PHARMA DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4599,2854,"c/o DISMERCOOP","Cali","Colombia",-0- 
4599,2855,"c/o GRACADAL S.A.","Cali","Colombia",-0- 
4600,2856,"c/o DISTRIBUIDORA DE DROGAS CONDOR S.A.","Bogota","Colombia",-0- 
4601,2857,"c/o DISTRIBUIDORA DE DROGAS CONDOR S.A.","Bogota","Colombia",-0- 
4601,2858,"c/o COINTERCOS S.A.","Bogota","Colombia",-0- 
4601,4592,"c/o FIDUSER LTDA.","Bogota","Colombia",-0- 
4601,6093,"c/o AMERICANA DE COSMETICOS S.A.","Bogota","Colombia",-0- 
4601,6094,"c/o COSMEPOP","Bogota","Colombia",-0- 
4601,6095,"c/o LATINA DE COSMETICOS S.A. Y DISTRIBUCIONES S.A.","Bogota","Colombia",-0- 
4602,2859,"c/o PENTACOOP LTDA.","Bogota","Colombia",-0- 
4603,2860,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4604,2861,"c/o DISMERCOOP","Cali","Colombia",-0- 
4604,2862,"c/o GRACADAL S.A.","Cali","Colombia",-0- 
4604,2863,"Carrera 25A No. 49-73","Cali","Colombia",-0- 
4605,2864,"c/o DISMERCOOP","Cali","Colombia",-0- 
4606,2865,"c/o DISTRIBUIDORA DE DROGAS CONDOR S.A.","Bogota","Colombia",-0- 
4606,2866,"c/o COINTERCOS S.A.","Bogota","Colombia",-0- 
4606,4594,"c/o FIDUSER LTDA.","Bogota","Colombia",-0- 
4606,6069,"COSMEPOP","Bogota","Colombia",-0- 
4606,6070,"LATINA DE COSMETICOS Y DISTRIBUCIONES S.A.","Bogota","Colombia",-0- 
4607,4148,"c/o PENTA PHARMA DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4607,4149,"c/o PENTACOOP LTDA.","Bogota","Colombia",-0- 
4607,4150,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4607,4151,"c/o DECAFARMA S.A.","Bogota","Colombia",-0- 
4608,2867,"c/o INVERSIONES Y CONSTRUCCIONES COSMOVALLE LTDA.","Cali","Colombia",-0- 
4608,6105,"c/o INVERSIETE S.A.","Cali","Colombia",-0- 
4608,6106,"c/o INVERSIONES Y DISTRIBUCIONES  A M M LTDA.","Cali","Colombia",-0- 
4608,10173,"c/o ALERO S.A.","Cali","Colombia",-0- 
4609,2868,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4609,2869,"c/o DROGAS LA REBAJA BARRANQUILLA S.A.","Barranquilla","Colombia",-0- 
4609,2870,"c/o BLANCO PHARMA S.A.","Bogota","Colombia",-0- 
4609,2871,"c/o DROGAS LA REBAJA PRINCIPAL S.A.","Bogota","Colombia",-0- 
4609,2872,"c/o DROGAS LA REBAJA CALI S.A.","Cali","Colombia",-0- 
4609,2873,"c/o DISTRIBUIDORA DE DROGAS CONDOR LTDA.","Bogota","Colombia",-0- 
4610,2874,"c/o COINTERCOS S.A.","Bogota","Colombia",-0- 
4610,2875,"c/o LABORATORIOS BLAIMAR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4610,2876,"c/o COSMEPOP","Bogota","Colombia",-0- 
4610,2877,"Calle 58A S 80C-31","Bogota","Colombia",-0- 
4611,4221,"c/o DROGAS LA REBAJA BARRANQUILLA S.A.","Barranquilla","Colombia",-0- 
4611,4222,"c/o DROGAS LA REBAJA CALI S.A.","Cali","Colombia",-0- 
4611,4223,"c/o DROGAS LA REBAJA BOGOTA S.A.","Bogota","Colombia",-0- 
4611,4224,"c/o DROGAS LA REBAJA PEREIRA S.A.","Pereira","Colombia",-0- 
4611,4225,"c/o DROGAS LA REBAJA PRINCIPAL S.A.","Bogota","Colombia",-0- 
4611,4226,"c/o DEPOSITO POPULAR DE DROGAS S.A.","Cali","Colombia",-0- 
4611,4227,"c/o DROGAS LA REBAJA NEIVA S.A.","Neiva","Colombia",-0- 
4611,4228,"c/o SERVICIOS FARMACEUTICOS SERVIFAR S.A.","Cali","Colombia",-0- 
4611,7204,"c/o DISTRIBUIDORA DEL VALLE E.U.","Cali","Colombia",-0- 
4612,2878,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4613,2879,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4613,9354,"Carrera 50 No. 173-12","Bogota","Colombia",-0- 
4614,4229,"c/o ANDINA DE CONSTRUCCIONES S.A.","Cali","Colombia",-0- 
4614,4230,"c/o GRACADAL S.A.","Cali","Colombia",-0- 
4614,4231,"c/o INVERSIONES Y CONSTRUCCIONES COSMOVALLE LTDA.","Cali","Colombia",-0- 
4614,4232,"c/o DISMERCOOP","Cali","Colombia",-0- 
4614,4233,"c/o INTERAMERICA DE CONSTRUCCIONES S.A.","Cali","Colombia",-0- 
4614,4234,"c/o INVERSIONES MONDRAGON Y CIA. S.C.S.","Cali","Colombia",-0- 
4614,4235,"c/o SERVICIOS FARMACEUTICOS SERVIFAR S.A.","Cali","Colombia",-0- 
4614,9353,"Carrera 5 No. 24-63","Cali","Colombia",-0- 
4615,2880,"c/o PENTA PHARMA DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4615,2881,"c/o PENTACOOP LTDA.","Bogota","Colombia",-0- 
4615,6118,"c/o DECAFARMA S.A.","Bogota","Colombia",-0- 
4616,2882,"c/o DROGAS LA REBAJA BUCARAMANGA S.A.","Bucaramanga","Colombia",-0- 
4616,2883,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4617,2884,"c/o LABORATORIOS BLAIMAR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4617,2885,"c/o COSMEPOP","Bogota","Colombia",-0- 
4617,6119,"c/o LATINA DE COSMETICOS Y DISTRIBUCIONES S.A.","Bogota","Colombia",-0- 
4619,2886,"c/o DISMERCOOP","Cali","Colombia",-0- 
4619,7184,"c/o LATINFAMRACOS, S.A.","Quito","Ecuador",-0- 
4619,7185,"c/o RIONAP COMERCIO Y REPRESENTACIONES S.A.","Quito","Ecuador",-0- 
4621,2888,"c/o DISMERCOOP","Cali","Colombia",-0- 
4622,2889,"c/o COPSERVIR LTDA.","Bogota","Colombia",-0- 
4623,2890,"c/o LABORATORIOS BLAIMAR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4623,2891,"c/o COSMEPOP","Bogota","Colombia",-0- 
