Issue_Sym_Id,Issue_Short_Nm,Status,Issue_Type_Cd
BRCRU,BROOKE CREDIT CP UT,ACTIVE,Unit
BRCRW,BROOKE CREDIT CP WT,ACTIVE,Warrant
BRER,BRESLER & REINER INC,ACTIVE,Common Stock
BRHI,BRAINTECH INC,ACTIVE,Common Stock
BRPC,BLACKROCK PETROLEUM,ACTIVE,Common Stock
BRSI,BALLISTIC RECOVERY SYS INC,ACTIVE,Common Stock
BRTE,BRIGHTEC INC,ACTIVE,Common Stock
BRZV,BREEZER VENTURES INC,ACTIVE,Common Stock
BSCA,BANK SANTA CLARITA,ACTIVE,Common Stock
BSEA,BLACK SEA OIL INC,ACTIVE,Common Stock
BSGC,BIGSTRING CORP,ACTIVE,Common Stock
BSHF,BIOSHAFT WATER TECH,ACTIVE,Common Stock
BSHI,BOSS HOLDINGS INC,ACTIVE,Common Stock
BSIC,BASIC EARTH SCIENCE SYS INC,ACTIVE,Common Stock
BSLM,BIO SOLUTIONS MFG,ACTIVE,Common Stock
BSOG,BANK OF SALEM (OR),ACTIVE,Common Stock
BSOI,BISON INSTRUMENTS,ACTIVE,Common Stock
BSPA,BALLSTON SPA BANCORP,ACTIVE,Common Stock
BSPE,BLACKSANDS PETROLEUM,ACTIVE,Common Stock
BSRC,"BIOSOLAR, INC.",ACTIVE,Common Stock
BSSA,BAROSSA COFFEE CO,ACTIVE,Common Stock
BSTR,BANKER'S STORE INC,ACTIVE,Common Stock
BTEL,BIOTEL INC,ACTIVE,Common Stock
BTEM,BIOSTEM INC,ACTIVE,Common Stock
BTIM,BIOTIME INC,ACTIVE,Common Stock
BTIMW,BIOTIME INC WTS,ACTIVE,Warrant
BTOD,B2DIGITAL INC,ACTIVE,Common Stock
BTON,BRITTON INTL INC,ACTIVE,Common Stock
BTXH,BTX HOLDINGS INC,ACTIVE,Common Stock
BUGS,U S MICROBICS,ACTIVE,Common Stock
BUKS,BUTLER NATL CORP,ACTIVE,Common Stock
BUKX,BUCKINGHAM EXPLR INC,ACTIVE,Common Stock
BVBC,BLUE VALLEY BAN (KS),ACTIVE,Common Stock
BVFL,BV FINANCIAL INC MD,ACTIVE,Common Stock
BVII,BROADVIEW INSTITUTE,ACTIVE,Common Stock
BVNC,BTHC VIII INC NEW,ACTIVE,Common Stock
BVNI,BUSINESS VN INC,ACTIVE,Common Stock
BVRSF,BVR SYSTEMS LTD,ACTIVE,Ordinary Shares
BVSN,BROADVISION INC,ACTIVE,Common Stock
BVTI,BIOVEST INTL INC,ACTIVE,Common Stock
BWCX,BESTWAY COACH EXPRES,ACTIVE,Common Stock
BWEBF,BACKWEB TECH LTD,ACTIVE,Ordinary Shares
BWMG,BROWNIE'S MARINE GRP,ACTIVE,Common Stock
BWTL,BOWLIN TRAVEL CENTER,ACTIVE,Common Stock
BXLH,BAXL HOLDINGS INC,ACTIVE,Common Stock
BXTRR,BAXTER INTL INC CTG PYT RT,ACTIVE,Right
BXWD,BOXWOODS INC,ACTIVE,Common Stock
BYBUF,BUFFALO GOLD LTD,ACTIVE,Ordinary Shares
BYCX,BAYOU CITY EXPLORATN,ACTIVE,Common Stock
BYLK,BAYLAKE CORP,ACTIVE,Common Stock
BYWD,BAYWOOD INTL INC,ACTIVE,Common Stock
BZYR,BURZYNSKI RESEARCH,ACTIVE,Common Stock
CAAG,CAL ALTA AUTO GLASS,ACTIVE,Common Stock
CABB,CALIFORNIA BUS BANK,ACTIVE,Common Stock
CABK,CALIFORNIA COMMUN CA,ACTIVE,Common Stock
CABN,"CARBON SCIENCES, INC",ELIGIBLE,Common Stock
CACN,CUSTOMER ACQ NETWORK,ACTIVE,Common Stock
CACV,"CACTUS VENTURES, INC",ELIGIBLE,Common Stock
CADM,CARDIMA INC NEW,ACTIVE,Common Stock
CADQF,CHINA DISCOVERY AQSN,ACTIVE,Ordinary Shares
CADUF,CHINA DISCOVERY AQ U,ACTIVE,Ordinary Shares
CADV,CAREADVANTAGE INC,ACTIVE,Common Stock
CADWF,CHINA DISCOVERY AQ W,ACTIVE,Ordinary Shares
CAFE,HOST AMERICA CORP,ACTIVE,Common Stock
CAGC,CHINA AGRITECH INC,ACTIVE,Common Stock
CALVF,CALEDONIA MINING CP,ACTIVE,Ordinary Shares
CALW,CALWEST BANCORP CA,ACTIVE,Common Stock
CAMH,CAMBRIDGE HEART INC,ACTIVE,Common Stock
CAON,CHANG-ON INTL INC,ACTIVE,Common Stock
CAPS,CAPRIUS INC,ACTIVE,Common Stock
CARE,CARTER BANK&TR (VA),ACTIVE,Common Stock
CARZ,"CARLATERAL, INC.",ACTIVE,Common Stock
CATC,CAMBRIDGE BANCORP,ACTIVE,Common Stock
CAUI,CANAM URANIUM CORP,ACTIVE,Common Stock
CAXG,CHINA AOXING PHARMA,ACTIVE,Common Stock
CBAG,CRESTED CORP,ACTIVE,Common Stock
CBAI,CORD BLOOD AMERICA,ACTIVE,Common Stock
CBAO,CENTURY BANK (OR),ACTIVE,Common Stock
CBBC,COMMUNITY BUS BK CA,ACTIVE,Common Stock
CBCO,COASTAL BANKING CO INC,ACTIVE,Common Stock
CBEL,CYBERTEL CAPITAL CP,ACTIVE,Common Stock
CBEV,CAPITAL BEVERAGE C,ACTIVE,Common Stock
CBFM,COMMERCE BK FOLSOM,ACTIVE,Common Stock
CBFV,CB FINANCIAL SVC IPA,ACTIVE,Common Stock
CBKJ,CORNERSTONE BK NJ,ACTIVE,Common Stock
CBKM,CONSUMERS BANCORP,ACTIVE,Common Stock
CBKW,CHOICE BK WISCONSIN,ACTIVE,Common Stock
CBKWW,CHOICE BK WT WISCONS,ACTIVE,Warrant
CBLRF,CAMPBELL RESOURCES,ACTIVE,Ordinary Shares
CBMC,CALYPTE BIOMEDICAL,ACTIVE,Common Stock
CBNC,COUNTY BANK CORP,ACTIVE,Common Stock
CBNH,COMMUNITY BK & TR NH,ACTIVE,Common Stock
CBNY,COMMUNITY NATL BK NY,ACTIVE,Common Stock
CBOF,CBOA FINANCIAL INC,ACTIVE,Common Stock
CBPA,CANTON BANCORP (PA),ACTIVE,Common Stock
CBPC,CHINA BIOPHARMA INC,ACTIVE,Common Stock
CBSJ,CREATIVE BEAUTY NJ,ACTIVE,Common Stock
CBSO,COMMUNITYSOUTH FINL,ACTIVE,Common Stock
CBTC,CBT FINANCIAL CORP,ACTIVE,Common Stock
CBTD,CHRISTIANA BK & TR,ACTIVE,Common Stock
CBUS,COLUMBUS VENTURES,ACTIVE,Common Stock
CBVA,CAB-TIVE ADVERTISING,ACTIVE,Common Stock
CBYAA,COMMUNITY BK BAY CA,ACTIVE,Common Stock
CBZFF,CARBIZ INC,ACTIVE,Ordinary Shares
CCAH,"COMMONCACHE, INC.",ACTIVE,Common Stock
CCBC,CHINO COMMERCIAL BCP,ACTIVE,Common Stock
CCBEF,CLEARLY CANADIAN BEV,ACTIVE,Ordinary Shares
CCCFF,CHAI-NA-TA CORP,ACTIVE,Ordinary Shares
CCCN,CITY CAPITAL CORP,ACTIVE,Common Stock
CCDE,CASCADE COACHING CP,ACTIVE,Common Stock
CCEL,CRYO-CELL INTL INC,ACTIVE,Common Stock
CCFC,CCSB FINANCIAL CORP,ACTIVE,Common Stock
CCFN,CCFNB BANCORP INC,ACTIVE,Common Stock
CCGY,CHINA CLEAN ENERGY,ACTIVE,Common Stock
CCHN,CLEAR CHOICE HEALTH,ACTIVE,Common Stock
CCIKO,CROWN CASTLE CV PFD,ACTIVE,Preferred Stock
CCMS,CHAMPION COMMUNICATION SVC INC,ACTIVE,Common Stock
CCNG,COLLECTIBLE CONCEPTS,ACTIVE,Common Stock
CCNI,COMMAND CENTER INC,ACTIVE,Common Stock
CCNN,COCONNECT INC,ACTIVE,Common Stock
CCOM,COLONIAL COMML CP,ACTIVE,Common Stock
CCOMP,COLONIAL COMM CV PFD,ACTIVE,Preferred Stock
CCOP,COMPETITIVE COMPANIE,ACTIVE,Common Stock
CCRE,CAN-CAL RESOURCES,ACTIVE,Common Stock
CCSG,CONCRETE CASTING INC,ACTIVE,Common Stock
CCUC,CLASSIC COSTUME CO,ACTIVE,Common Stock
CCYG,CELLCYTE GENETICS,ACTIVE,Common Stock
CDBK,CARDINAL BANKSHS VA,ACTIVE,Common Stock
CDCO,COMDISCO HLDG CO,ACTIVE,Common Stock
CDCOR,COMDISCO HLDG RTS,ACTIVE,Right
CDFB,CORONADO FIRST BANK,ACTIVE,Common Stock
CDGD,CAMBRIDGE HOLDINGS LTD,ACTIVE,Common Stock
CDGEF,CDG INVESTMENTS INC,ACTIVE,Ordinary Shares
CDGT,CHINA DIGITAL MEDIA,ACTIVE,Common Stock
CDIF,CARDIFF INTL INC,ACTIVE,Common Stock
CDOC,CODA OCTOPUS GROUP,ELIGIBLE,Common Stock
CDSG,CHINA DONGSHENG INTL,ACTIVE,Common Stock
CDSI,CDSI HOLDINGS INC,ACTIVE,Common Stock
CDVT,CARD ACTIVATION TECH,ELIGIBLE,Common Stock
CECB,CECIL BANCORP,ACTIVE,Common Stock
CEDNM,CONS EDISON 4.65 D,ACTIVE,Preferred Stock
CEEH,CHANTICLEER HLDGS,ACTIVE,Common Stock
CEFB,CENTRAL FLORID ST BK,ACTIVE,Common Stock
CEFC,COMMERCIAL NATL FINL CORP (MI),ACTIVE,Common Stock
CEMI,CHEMBIO DIAGNOSTICS,ACTIVE,Common Stock
CEPO,CEPTOR CORPORATION,ELIGIBLE,Common Stock
CERP,CEREPLAST INC,ACTIVE,Common Stock
CETH,"CONVERGENCE ETHANOL,",ACTIVE,Common Stock
CETR,CET SVCS INC,ACTIVE,Common Stock
CEUA,CHINA EDUCATION NEW,ACTIVE,Common Stock
CEUC,CHINACAST EDUCATION,ACTIVE,Common Stock
CEUCU,CHINACAST EDUCATN UT,ACTIVE,Unit
CEUCW,CHINACAST EDUCATN WT,ACTIVE,Warrant
CEXI,CDEX INC CL A,ACTIVE,Common Stock
CFAQF,CHINA FORTUNE ACQSTN,ACTIVE,Ordinary Shares
CFAUF,CHINA FORTUNE ACQ UT,ACTIVE,Ordinary Shares
CFAWF,CHINA FORTUNE ACQ WT,ACTIVE,Warrant
CFBC,COMMUNTY FIRS BCP MD,ACTIVE,Common Stock
CFBN,COMMUNITY 1ST BK CA,ACTIVE,Common Stock
CFNA,CNB FINANCIAL CORP.,ACTIVE,Common Stock
CFOK,COMMUNITY FIRST BANCORP SC,ACTIVE,Common Stock
CFPC,COFFEE PACIFICA INC,ACTIVE,Common Stock
CFUL,CONTINENTAL FUELS,ACTIVE,Common Stock
CGCA,COBRA OIL & GAS CO,ACTIVE,Common Stock
CGCO,COMMERCE GROUP CORP,ACTIVE,Common Stock
CGDE,CAREGUIDE INC,ACTIVE,Common Stock
CGDF,COLOMBIA GOLDFIELDS,ACTIVE,Common Stock
CGLD,CAPITAL GOLD CORP,ACTIVE,Common Stock
CGNQF,CHINAGROWTH NORTH WT,ACTIVE,Ordinary Shares
CGNUF,CHINAGROWTH NORTH UT,ACTIVE,Ordinary Shares
CGNV,CIGNUS VENTURES INC,ACTIVE,Common Stock
CGNW,COGNIGEN NETWKS,ACTIVE,Common Stock
CGNYF,CHINAGROWTH NORTH AQ,ACTIVE,Ordinary Shares
CGRB,COUGAR BIOTECHNOLOGY,ACTIVE,Common Stock
CGRH,COUGAR HOLDINGS INC,ACTIVE,Common Stock
CGSQF,CHINAGROWTH SOUTH WT,ACTIVE,Ordinary Shares
CGSUF,CHINAGROWTH SOUTH UT,ACTIVE,Ordinary Shares
CGSXF,CHINAGROWTH SOUTH AQ,ACTIVE,Ordinary Shares
CGSY,CAPITAL GROWTH SYSTM,ACTIVE,Common Stock
CGXP,CERAGENIX PHARMACUTL,ACTIVE,Common Stock
CHAS,CHINA AGRO SCIENCES,ACTIVE,Common Stock
CHBD,BERNARD CHAUS INC,ACTIVE,Common Stock
CHBH,CROGHAN BANCSHARES INC,ACTIVE,Common Stock
CHBP,CHINA BIOPHARMA HLDG,ACTIVE,Common Stock
CHBT,CHINA BIOTICS INC,ACTIVE,Common Stock
CHBU,CHINA AGRI-BUSINESS,ELIGIBLE,Common Stock
CHCG,CHINA 3C GROUP,ACTIVE,Common Stock
CHCR,COMPREHENSIVE CARE CORPORATION,ACTIVE,Common Stock
CHDO,CHDT CORPORATION,ACTIVE,Common Stock
CHFI,CHINA FINANCE INC,ACTIVE,Common Stock
CHFN,CHARTER FINL CORP #,ACTIVE,Common Stock
CHFR,CHINA FRUITS CORP,ACTIVE,Common Stock
CHGEL,CENTRAL HUDSON G & E,ACTIVE,Preferred Stock
CHGEM,CENTRAL HUDSON G & E 4.75 PFD,ACTIVE,Preferred Stock
CHGEN,CENTRAL HUDSON G & E 4.50 PFD,ACTIVE,Preferred Stock
CHGEZ,CENTRAL HUDSON G & E 4.35 PFD,ACTIVE,Preferred Stock
CHGS,CHINA GENGSHENG MNRL,ACTIVE,Common Stock
CHGY,CHINA ENERGY CORP,ACTIVE,Common Stock
CHHL,"CHINA HOLDINGS, INC.",ACTIVE,Common Stock
CHID,CHINA DIGITAL COMM,ACTIVE,Common Stock
CHKJ,CHEROKEE BANKING CO,ACTIVE,Common Stock
CHKT,CHEMOKINE THERAPEUT,ACTIVE,Common Stock
CHLN,CHINA HOUSING & LAND,ACTIVE,Common Stock
CHMD,CHINA MEDIA GROUP CP,ACTIVE,Common Stock
CHME,CHINA MEDICINE CORP,ACTIVE,Common Stock
CHMG,CHEMUNG FINANCIAL CORP,ACTIVE,Common Stock
CHNG,CHINA NATURAL GAS,ACTIVE,Common Stock
CHNQ,CHINA OPTNTY AQ COM,ACTIVE,Common Stock
CHNQU,CHINA OPTNTY AQ UNIT,ACTIVE,Unit
CHNQW,CHINA OPTNTY AQ WT,ACTIVE,Warrant
CHOB,CHARTER OAK BANK CA,ACTIVE,Common Stock
CHRI,CHINA HEALTH RES A,ACTIVE,Common Stock
CHRN,CHINA HUAREN ORGANIC,ACTIVE,Common Stock
CHSH,CHINA SHOE HOLDINGS,ACTIVE,Common Stock
CHWD,CHATSWORTH DATA SOL,ACTIVE,Common Stock
CHWE,CHINAWE.COM INC,ACTIVE,Common Stock
CHWN,CHARTWELL INTL INC,ACTIVE,Common Stock
CICI,COMMUNICATION INT CP,ACTIVE,Common Stock
CICN,CICERO INC,ACTIVE,Common Stock
CILTL,CENTRAL ILL LT 4.64,ACTIVE,Preferred Stock
CINT,CRYSTAL INTL TRAVEL,ACTIVE,Common Stock
CIOC,CASPIAN INTL OIL CP,ACTIVE,Common Stock
CIPSM,CENTRAL ILL PUB 4.92,ACTIVE,Preferred Stock
CIPSN,CENTRAL ILL PUB  4,ACTIVE,Preferred Stock
CIPSO,CENTRAL ILL PUB 4.9,ACTIVE,Preferred Stock
CIRC,CIRTRAN CORP,ACTIVE,Common Stock
CITC,CHILDRENS INTERNET,ACTIVE,Common Stock
CIVY,CHINA IVY SCHOOL INC,ACTIVE,Common Stock
CIWT,CHINA INDUSTRL WASTE,ACTIVE,Common Stock
CIWV,CITIZENS FINCL CORP W V,ACTIVE,Common Stock
CKFB,C K F BANCORP INC,ACTIVE,Common Stock
CKGT,CHINA KANGTAI CACTUS,ACTIVE,Common Stock
CKRU,CKRUSH INC NEW,ACTIVE,Common Stock
CKSB,CLARKSTON FINL CORP,ACTIVE,Common Stock
CLAI,CLAIMSNET.COM INC,ACTIVE,Common Stock
CLBC,COLUMBIA COMM BCP OR,ACTIVE,Common Stock
CLBE,CALBATECH INC,ACTIVE,Common Stock
CLBF,COLUMBIA FINL CORP,ACTIVE,Common Stock
CLDB,CORTLAND BNCP CRTLD OHIO,ACTIVE,Common Stock
CLGX,CITY LANGUAGE EXCHNG,ACTIVE,Common Stock
CLGY,CELLEGY PHARM INC,ACTIVE,Common Stock
CLHRF,CORAL GOLD RES NEW,ACTIVE,Ordinary Shares
CLIK,CLICKNSETTLE.COM INC,ACTIVE,Common Stock
CLKTF,CALCITECH LTD,ACTIVE,Ordinary Shares
CLLO,"CASTILLO, INC.",ELIGIBLE,Common Stock
CLRA,CLEARANT INC,ACTIVE,Common Stock
CLSC,COBALIS CORP NEW,ACTIVE,Common Stock
CLSI,CLANCY SYSTEMS INTL,ACTIVE,Common Stock
CLXN,CLX INVESTMENT CO,ACTIVE,Common Stock
CLXS,COLLEXIS HOLDINGS,ACTIVE,Common Stock
CLYV,CLYVIA INC.,ACTIVE,Common Stock
CMEG,CAMELOT ENTERTAINMT,ACTIVE,Common Stock
CMHM,CONMED HEALTHCARE MG,ACTIVE,Common Stock
CMHS,COMPREHENSIVE HEALTH,ACTIVE,Common Stock
CMMI,CONS MEDICAL MGMT,ACTIVE,Common Stock
CMNC,COMMUNITY NATL CORP,ACTIVE,Common Stock
CMNN,COMMUNICATE.COM INC,ACTIVE,Common Stock
CMOH,COMMERCIAL BANCSHARES INC(OHIO,ACTIVE,Common Stock
CMPD,COMPUMED INC,ACTIVE,Common Stock
CMSF,CAMINOSOFT CORP,ACTIVE,Common Stock
CMTB,COMMUNITY BK BERG NJ,ACTIVE,Common Stock
CMTV,COMMUNITY BANCORP INC VT,ACTIVE,Common Stock
CMTX,COMTEX NEWS NETWORK INC,ACTIVE,Common Stock
CMXX,CIMETRIX INC,ACTIVE,Common Stock
CMYF,COMMUNTY 1ST BNK(ID),ACTIVE,Common Stock
CNBF,COMMERCE NATL BK CA,ACTIVE,Common Stock
CNBR,CINNABAR VENTURES,ELIGIBLE,Common Stock
CNBV,CNB BANCORP INC (VA),ACTIVE,Common Stock
CNBZ,CNB CORPORATION (MI),ACTIVE,Common Stock
CNCG,CONCIERGE TECH INC,ACTIVE,Common Stock
CNCM,CONNECTED MEDIA TECH,ACTIVE,Common Stock
CNCN,CINTEL CORP,ACTIVE,Common Stock
CNCT,180 CONNECT INC,ACTIVE,Common Stock
CNCTU,180 CONNECT INC UNIT,ACTIVE,Unit
CNCTW,180 CONNECT INC WTS,ACTIVE,Warrant
CNEH,CHINA NORTH EAST PET,ACTIVE,Common Stock
CNES,CONECTISYS CORP,ACTIVE,Common Stock
CNHA,CONIHASSET CAP PTNRS,ACTIVE,Common Stock
CNIG,CORNING NATURAL GAS,ACTIVE,Common Stock
CNIGW,CORNING NATL GAS WT,ELIGIBLE,Warrant
CNLPL,CONN LT & PWR $3.24,ACTIVE,Preferred Stock
CNLPM,CONN LT & PWR $2.06,ACTIVE,Preferred Stock
CNLTN,CONN LT & PWR $2.00,ACTIVE,Preferred Stock
CNLTP,CONN LT & PWR $2.20,ACTIVE,Preferred Stock
CNND,CANANDAIGUA NATL COR,ACTIVE,Common Stock
CNOA,CHINA ORGANIC AGRICU,ACTIVE,Common Stock
CNPWP,CONN LT & PWR $2.04,ACTIVE,Preferred Stock
CNSC,CENTERSTAGING CORP,ACTIVE,Common Stock
CNSO,"CNS RESPONSE, INC.",ACTIVE,Common Stock
CNTL,CENTALE INC,ACTIVE,Common Stock
CNTN,CONTINAN COMMUNICATN,ACTIVE,Common Stock
CNUV,CHINA NUVO SOLAR EGY,ACTIVE,Common Stock
CNVB,COLONIAL VA BK,ACTIVE,Common Stock
CNVT,CVF TECHNLGIES CP,ACTIVE,Common Stock
CNWT,"CISTERA NETWORKS, IN",ACTIVE,Common Stock
CNYB,COUNTY COMMERCE BK,ACTIVE,Common Stock
COBT,C2 GLOBAL TECH INC,ACTIVE,Common Stock
COCBF,COASTAL CARIBBEAN,ACTIVE,Ordinary Shares
CODY,"CODY RESOURCES, INC.",ACTIVE,Common Stock
COFF,CROFF ENTERPRISES,ACTIVE,Common Stock
COFI,CREDIT ONE FINANCIAL,ACTIVE,Common Stock
COFS,CHOICEONE FINANCIAL,ACTIVE,Common Stock
COGC,CALIFORNIA OIL & GAS,ACTIVE,Common Stock
COGF,COLORADO GOLDFIELDS,ACTIVE,Common Stock
COGL,CHEETAH OIL & GAS,ACTIVE,Common Stock
CONX,CORGENIX MED CORP,ACTIVE,Common Stock
COPA,COUNTERPATH CORP,ACTIVE,Common Stock
COPI,COMPLIANCE SYSTEMS,ACTIVE,Common Stock
COPY,COPYTELE INC,ACTIVE,Common Stock
CORG,CORDIA CORP,ACTIVE,Common Stock
COSB,CALIFORNIA OAKS BK,ACTIVE,Common Stock
COTE,COATES INTERNATIONAL,ACTIVE,Common Stock
COUS,COLOURED US INC,ACTIVE,Common Stock
COVR,COVER-ALL TECHNOLOGIES INC,ACTIVE,Common Stock
COWP,CANAL CAPITAL CP,ACTIVE,Common Stock
COWPP,CANAL CAPITL 1.30 PF,ACTIVE,Preferred Stock
CPBO,CAPITAL PACIFIC BCP,ACTIVE,Common Stock
CPBY,CHINA PUBLIC SEC TEC,ACTIVE,Common Stock
CPCF,CPC OF AMERICA INC,ACTIVE,Common Stock
CPDV,CHINA PROPERTIES DEV,ACTIVE,Common Stock
CPEU,CHAPEAU INC,ACTIVE,Common Stock
CPFR,CAMERA PLATFORMS INT,ACTIVE,Common Stock
CPHI,CHINA PHARMA HLDGS,ACTIVE,Common Stock
CPICF,CHINA PHARMACEUTICAL,ACTIVE,Ordinary Shares
CPMM,CHINA PREMIUM LIFEST,ACTIVE,Common Stock
CPNE,COMMERCEPLANET INC,ACTIVE,Common Stock
CPOW,CLEAN POWER CONCEPTS,ACTIVE,Common Stock
CPPXF,CONTINENTL ENERGY CP,ACTIVE,Ordinary Shares
CPROF,CORTELCO SYS P R,ACTIVE,Ordinary Shares
CPSH,CPS TECHNOLOGIES CP,ACTIVE,Common Stock
CPSO,CAPSOURCE FINANCIAL,ACTIVE,Common Stock
CPTC,COMPOSITE TECH CORP,ACTIVE,Common Stock
CPTH,CRITICAL PATH INC,ACTIVE,Common Stock
CPTPF,CAPITAL ALLIANCE GRO,ELIGIBLE,Ordinary Shares
CPUBN,CENTRAL VT PUB  4.15,ACTIVE,Preferred Stock
CPUBO,CENTRAL VT PUB 4.75,ACTIVE,Preferred Stock
CPVT,"CANTOP VENTURES, INC",ACTIVE,Common Stock
CPWB,CHALLENGER POWERBOAT,ACTIVE,Common Stock
CPWE,CLEAN POWER TECHNOLG,ACTIVE,Common Stock
CPWLP,CAROLINA PWR & 5.44,ACTIVE,Preferred Stock
CPWPN,CAROLINA PWR & LT4.2,ACTIVE,Preferred Stock
CPYE,CONSPIRACY ENTERTMNT,ACTIVE,Common Stock
CRAO,CORONADO CORP.,ACTIVE,Common Stock
CRCA,CONNECTICUT RIVER,ACTIVE,Common Stock
CRCAU,CONNECTICUT RIVER UT,ACTIVE,Unit
CRCUF,CANARC RESOURCE CORP,ACTIVE,Ordinary Shares
CRDT,CRDENTIA CORP,ACTIVE,Common Stock
CREBQ,CHAMPION PARTS INC,ACTIVE,Common Stock
CREG,CHINA RECYCLING ENER,ACTIVE,Common Stock
CRGO,CARGO CONNECTION LOG,ACTIVE,Common Stock
CRLI,CIRCUIT RESEARCH LAB,ACTIVE,Common Stock
CRLN,CAROLINA ALLNC BK SC,ACTIVE,Common Stock
CRMXF,CREAM MINERALS LTD,ACTIVE,Ordinary Shares
CRMZ,CREDITRISKMONITOR.COM INC,ACTIVE,Common Stock
CRPL,CAROLYN RIVER PROJ,ACTIVE,Common Stock
CRSB,CORNERSTONE COMM BNK,ACTIVE,Common Stock
CRSVF,CAPITAL RESERVE CDA,ACTIVE,Common Stock
CRTCF,CURRENT TECHNOLOGY,ACTIVE,Ordinary Shares
CRTP,CHINA RITAR POWER CP,ACTIVE,Common Stock
CRUI,CHINA RUITAI INTL,ACTIVE,Common Stock
CRVH,CHILCO RIVER HLD INC,ACTIVE,Common Stock
CRWE,CROWN EQUITY HLD,ACTIVE,Common Stock
CRWP,CROWN PARTNERS INC,ACTIVE,Common Stock
CRWTF,CROW TECHS 1977 LTD,ACTIVE,Ordinary Shares
CSAT,CELSIA TECHNOLOGIES,ACTIVE,Common Stock
CSBB,C S B BANCORP OHIO,ACTIVE,Common Stock
CSBQ,CORNERSTONE BANCS TN,ACTIVE,Common Stock
CSBR,CHAMPIONS BIOTECHNLG,ACTIVE,Common Stock
CSCA,CHARDAN SOUTH CHINA,ACTIVE,Common Stock
CSCAU,CHARDAN SOUTH UT,ACTIVE,Unit
CSCAW,CHARDON SOUTH WT,ACTIVE,Warrant
CSCT,CHINA SECURITY & SUR,ACTIVE,Common Stock
CSDT,CASCADE TECHNOLOGIES,ACTIVE,Common Stock
CSEF,CASE FINANCIAL INC,ACTIVE,Common Stock
CSGH,CHINA SUN GRP HIGHTE,ACTIVE,Common Stock
CSKI,CHINA SKY ONE MEDICL,ACTIVE,Common Stock
CSLA,"COASTAL MEDIA, INC.",ACTIVE,Common Stock
CSLG,CONSOL OIL & GAS INC,ACTIVE,Common Stock
CSNI,CAPITAL SOLUTIONS,ACTIVE,Common Stock
CSOF,CHINA STATIONERY,ACTIVE,Common Stock
CSSV,CASPIAN SERVICES INC,ACTIVE,Common Stock
CSUH,CELSIUS HOLDINGS,ACTIVE,Common Stock
CSWI,COMPUTER SOFTWR INNV,ACTIVE,Common Stock
CSXB,CHINA SXAN BIOTECH,ACTIVE,Common Stock
CSZM,CHINA SHEN ZHOU MNG,ACTIVE,Common Stock
CTBP,COAST BANCORP (CA),ACTIVE,Common Stock
CTDH,CTD HOLDINGS INC,ACTIVE,Common Stock
CTDN,CAPITAL DIRECTIONS,ACTIVE,Common Stock
CTFO,CHINA TRANSINFO TECH,ACTIVE,Common Stock
CTHH,CATCHER HOLDINGS INC,ACTIVE,Common Stock
CTHP,CANCER THERAPEUTICS,ACTIVE,Common Stock
CTIG,C T I GROUP (HOLDINGS) INC,ACTIVE,Common Stock
CTMHF,CENTRASIA MINING COR,ACTIVE,Ordinary Shares
CTON,CALTON INC NEW,ACTIVE,Common Stock
CTORF,CREATOR CAPITAL LTD,ACTIVE,Ordinary Shares
CTOT,CORNERSTONE BNCP SC,ACTIVE,Common Stock
CTPJA,CHINA TITANIUM CL A,ACTIVE,Common Stock
CTSC,CELLULAR TECH SVCS,ACTIVE,Common Stock
CTUM,CONSORTIUM SVC MGT,ACTIVE,Common Stock
CTVWF,CITYVIEW CORP LTD,ACTIVE,Ordinary Shares
CTWSP,CONNECTICUT WTR$0.90,ACTIVE,Preferred Stock
CTYP,COMMUNITY BANKERS PA,ACTIVE,Common Stock
CTZR,CITIZENS NATL BCP DE,ACTIVE,Common Stock
CUBN,COMMERCE UNION BK TN,ACTIVE,Common Stock
CUIG,CHINA UNITECH GROUP,ELIGIBLE,Common Stock
CUMD,COUNTY FIRST BK (MD),ACTIVE,Common Stock
CUNB,CALIFORNIA UNITED BK,ACTIVE,Common Stock
CUSIF,CUSAC GOLD MINES LTD,ACTIVE,Ordinary Shares
CUTC,CURATECH INDUSTRIES,ACTIVE,Common Stock
CVAS,CREATIVE VISTAS INC,ACTIVE,Common Stock
CVBT,CARDIOVASCULAR BIOTH,ACTIVE,Common Stock
CVDT,CHINA VOIP & DIGITAL,ACTIVE,Common Stock
CVIT,CAVIT SCIENCES INC,ACTIVE,Common Stock
CVLG,CAVALIER GROUP (THE),ACTIVE,Common Stock
CVRX,CANDEV RESOURCE EXPL,ACTIVE,Common Stock
CVVUF,CANALASKA URANIUM,ACTIVE,Ordinary Shares
CWBB,COMMONWEALTH BUS BK,ACTIVE,Common Stock
CWBFE,CARTHEW BAY TECHS,ACTIVE,Ordinary Shares
CWBK,COMMERCEWEST BK (CA),ACTIVE,Common Stock
CWDK,CHINA WATER AND DRIN,ACTIVE,Common Stock
CWDW,CDSS WIND DOWN INC,ACTIVE,Common Stock
CWLC,CHINA WIRELESS COMMS,ACTIVE,Common Stock
CWNOF,CHINESEWORLDNET.COM,ACTIVE,Ordinary Shares
CWRL,CORNERWORLD CORP,ACTIVE,Common Stock
CWSCP,CALIFORNIA WTR PFD C,ACTIVE,Preferred Stock
